Customer ID,Gender,Age,Subscription Type,Monthly Charge,Tenure Months,Avg Monthly Watch Hours,Days Since Last Login,Profile Count,Devices Registered,Support Tickets,Churn
OTT-000001,Female,24,Basic,9.99,53,2.7,5,3,5,0,0
OTT-000002,Female,60,Premium,22.99,41,67.5,1,3,5,1,0
OTT-000003,Female,34,Standard,15.49,42,10.4,50,3,5,1,1
OTT-000004,Male,57,Standard,15.49,52,46.4,28,2,4,0,0
OTT-000005,Female,54,Basic,9.99,11,42.7,5,4,1,2,0
OTT-000006,Female,29,Basic,9.99,37,54.8,22,4,1,1,0
OTT-000007,Female,35,Basic,9.99,4,15.5,0,4,3,0,0
OTT-000008,Female,40,Premium,22.99,51,82.1,7,4,3,0,0
OTT-000009,Female,31,Premium,22.99,13,76.0,7,1,1,0,0
OTT-000010,Female,47,Basic,9.99,41,46.8,0,1,4,1,0
OTT-000011,Female,42,Basic,9.99,4,17.9,31,4,3,0,1
OTT-000012,Male,49,Basic,9.99,40,24.4,25,5,5,4,1
OTT-000013,Male,52,Standard,15.49,26,42.4,4,2,4,0,0
OTT-000014,Female,45,Basic,9.99,9,30.4,13,3,2,0,0
OTT-000015,Male,64,Basic,9.99,5,1.0,33,4,4,0,1
OTT-000016,Female,32,Basic,9.99,3,40.3,18,3,5,0,0
OTT-000017,Male,37,Premium,22.99,28,61.6,7,5,1,0,0
OTT-000018,Male,49,Basic,9.99,18,1.0,8,5,2,0,1
OTT-000019,Male,23,Premium,22.99,9,59.5,19,4,3,3,1
OTT-000020,Male,52,Basic,9.99,12,9.2,7,4,4,0,0
OTT-000021,Female,38,Basic,9.99,53,36.3,5,4,3,2,0
OTT-000022,Male,67,Standard,15.49,45,47.8,25,1,3,0,0
OTT-000023,Female,32,Standard,15.49,43,39.2,14,5,5,3,1
OTT-000024,Male,44,Standard,15.49,45,50.8,7,3,3,1,0
OTT-000025,Female,30,Premium,22.99,23,66.3,20,5,5,0,0
OTT-000026,Female,52,Standard,15.49,40,6.9,7,5,3,0,0
OTT-000027,Female,20,Premium,22.99,3,103.4,13,5,4,1,0
OTT-000028,Male,32,Standard,15.49,7,56.4,9,3,1,1,0
