Age,Monthly Charge,Tenure Months,Avg Monthly Watch Hours,Days Since Last Login,Profile Count,Devices Registered,Support Tickets,Gender_Female,Gender_Male,Subscription Type_Basic,Subscription Type_Premium,Subscription Type_Standard,Churn
21.0,15.49,51.0,70.6,28.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0
63.0,9.99,40.0,53.1,15.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0
36.0,22.99,20.0,26.5,46.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
18.0,22.99,34.0,27.3,4.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0
63.0,22.99,19.0,60.2,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
24.0,15.49,22.0,33.7,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
27.0,9.99,51.0,53.6,64.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0
52.0,22.99,16.0,36.0,13.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0
47.0,9.99,40.0,35.3,8.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0
36.0,15.49,21.0,73.6,17.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0
42.0,15.49,39.0,86.4,43.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0
39.0,9.99,54.0,28.6,1.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0
69.0,9.99,10.0,35.5,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0
56.0,9.99,56.0,27.6,12.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0
28.0,22.99,58.0,79.4,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
47.0,9.99,25.0,21.0,16.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0
41.0,15.49,9.0,55.7,3.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0
58.0,9.99,31.0,48.1,8.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
35.0,22.99,11.0,52.8,53.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
57.0,9.99,39.0,21.9,18.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1
31.0,15.49,58.0,66.1,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0
62.0,9.99,7.0,25.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
34.0,15.49,45.0,47.7,21.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
67.0,15.49,2.0,21.1,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1
30.0,15.49,12.0,84.8,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0
